model,horizon,split,RMSE,MAE,sMAPE (%),MASE,sMAPE
SeasonalNaive(P=7),7,validation,1025.0972691301301,480.31705011458337,16.641449571535823,1.209387151655953,
SeasonalNaive(P=7),7,test,776.928508908241,386.08042580696207,12.853595171240753,0.9721093731013958,
ETS,7,validation,8491.86635802965,7544.300292989628,121.32434758010717,25.51919911503522,
ETS,7,test,17801.995731670744,17498.799004044646,156.4375501083895,52.43158406102492,
SARIMAX,7,validation,2898.6108292878903,1922.437509939555,70.45840591222762,5.045278704960651,
SARIMAX,7,test,2638.941936813686,1732.3667059931624,68.53956165917057,4.093057925827425,
LightGBM (Median),7,validation,714.7316599408941,338.60552759938605,11.86491895257779,0.8525726381370222,
LightGBM (Median),7,test,454.1146096290406,238.18299652092946,9.162384034510614,0.5997194054772962,
XGBoost,7,validation,824.6909606060048,411.3955407191874,13.542190959771592,1.0358501349799003,
XGBoost,7,test,537.5951499559986,272.64174010770387,10.352959464121508,0.6864828500523125,
CatBoost,7,validation,797.238559911168,425.6824104879699,14.823874438760457,1.0718229507098966,
CatBoost,7,test,491.4044234309022,273.503509359804,10.767166965328016,0.6886526932026512,
TCN,7,validation,810.8365478515625,411.1754455566406,14.59929347038269,1.0352959588130075,
TCN,7,test,474.2032775878906,277.7530517578125,11.861053109169006,0.699352588147756,
TCN++,7,validation,690.633544921875,375.9194641113281,,0.9465251542604521,13.366442918777466
TCN++,7,test,479.6327819824219,279.4964294433594,,0.703742227393086,12.16607540845871
SeasonalNaive(P=7),14,validation,862.2752076280574,444.9036256354167,15.052496006133579,1.1065097883272421,
SeasonalNaive(P=7),14,test,692.5578334556508,347.3588008227848,11.657879976311596,0.8639082511927892,
ETS,14,validation,3074.655838794219,2428.763639394539,81.3515970094156,7.475446354100855,
ETS,14,test,2865.0569840480334,2064.50202177251,77.46324847643028,4.399919022462859,
SARIMAX,14,validation,3405.626279564354,2120.184201710867,79.4810584609522,1.6629229446125968,
SARIMAX,14,test,3164.097631753965,1936.0255584303006,75.10965624716782,0.8693831354112028,
LightGBM (Median),14,validation,789.2777649077603,373.00115451988614,12.453291391510236,0.9276827716208224,
LightGBM (Median),14,test,464.37783460266513,230.7904768267282,8.637515615824567,0.5739937976382211,
XGBoost,14,validation,884.5466550315476,445.3509774847768,14.49429798170741,1.1076223870376622,
XGBoost,14,test,490.7351391704905,263.15966457425276,10.010318989466663,0.6544984755483734,
CatBoost,14,validation,886.8154325857837,459.8920263019753,17.103049212681363,1.1437871020943102,
CatBoost,14,test,552.9394930850818,308.13482620611575,13.899232918406224,0.766355187226505,
TCN,14,validation,774.9876098632812,423.68609619140625,14.997446537017822,1.0537401486544067,
TCN,14,test,524.6990356445312,320.7196350097656,13.128912448883057,0.7976545817989301,
TCN++,14,validation,751.6583862304688,399.2204284667969,,0.9928921374102224,14.226734638214111
TCN++,14,test,472.8443603515625,279.9731750488281,,0.6963149788184678,12.639743089675903
SeasonalNaive(P=7),28,validation,894.6862397589127,464.49995903125,15.648634787936844,1.1532340660494946,
SeasonalNaive(P=7),28,test,648.806490400043,335.19570496835445,11.573873852471243,0.8322048220826125,
ETS,28,validation,4135.892440628718,3705.029942539187,97.1529081427859,13.519035208146665,
ETS,28,test,6962.749146801019,6560.639430044473,122.45403999256688,21.783189911244037,
SARIMAX,28,validation,2912.0141641724504,2128.6673585024187,76.22325489067158,6.007994155771446,
SARIMAX,28,test,2683.253503562978,1984.9225450622844,76.27953859540925,5.22509491406384,
LightGBM (Median),28,validation,769.309381321805,383.3865707192043,13.290976451172707,0.9518503612818076,
LightGBM (Median),28,test,513.1370466695167,264.3731019840754,9.87490830054418,0.6563704935325978,
XGBoost,28,validation,1370.8731531311507,578.5476167320073,16.609130830641465,1.4363851007405803,
XGBoost,28,test,558.4458899992685,305.955773865453,11.550381224087152,0.759609585029992,
CatBoost,28,validation,901.138344272756,491.05714730723747,18.766073064797435,1.2191687418721433,
CatBoost,28,test,616.9380935865846,352.7029395624657,16.765125557193837,0.8756707878888462,
TCN,28,validation,891.768310546875,449.3963317871094,16.50751531124115,1.1157356397952,
TCN,28,test,509.2965393066406,303.9439392089844,13.170869648456573,0.75461471642777,
TCN++,28,validation,789.68603515625,434.2755432128906,,1.078194606367148,16.338862478733063
TCN++,28,test,897.5918579101562,480.5773010253906,,1.1931499758761384,18.039798736572266
